Year,TRE_CN,RW
1893,23T106,0.38
1894,23T106,0.28
1895,23T106,0.39
1896,23T106,0.35
1897,23T106,0.38
1898,23T106,0.42
1899,23T106,0.2
1900,23T106,0.32
1901,23T106,0.38
1902,23T106,0.37
1903,23T106,0.4
1904,23T106,0.47
1905,23T106,0.41
1906,23T106,0.29
1907,23T106,0.33
1908,23T106,0.38
1909,23T106,0.32
1910,23T106,0.38
1911,23T106,0.3
1912,23T106,0.3
1913,23T106,0.31
1914,23T106,0.37
1915,23T106,0.22
1916,23T106,0.42
1917,23T106,0.34
1918,23T106,0.25
1919,23T106,0.28
1920,23T106,0.26
1921,23T106,0.28
1922,23T106,0.33
1923,23T106,0.24
1924,23T106,0.22
1925,23T106,0.23
1926,23T106,0.23
1927,23T106,0.24
1928,23T106,0.18
1929,23T106,0.3
1930,23T106,0.2
1931,23T106,0.25
1932,23T106,0.24
1933,23T106,0.19
1934,23T106,0.09
1935,23T106,0.16
1936,23T106,0.13
1937,23T106,0.16
1938,23T106,0.12
1939,23T106,0.14
1940,23T106,0.16
1941,23T106,0.14
1942,23T106,0.18
1943,23T106,0.16
1944,23T106,0.13
1945,23T106,0.21
1946,23T106,0.22
1947,23T106,0.16
1948,23T106,0.2
1949,23T106,0.16
1950,23T106,0.19
1951,23T106,0.15
